financial_year,town,room_type,min_selling_price,max_selling_price
2015,Punggol,5-room,364000,489000
2015,Sembawang,2-room,75000,123000
2015,Sembawang,3-room,152000,188000
2015,Sembawang,4-room,238000,302000
2015,Sembawang,5-room,na,na
2015,Sengkang,2-room,80000,137000
2015,Sengkang,3-room,159000,202000
2015,Sengkang,4-room,252000,330000
2015,Sengkang,5-room,320000,402000
2016,Bukit Panjang,2-room,73000,139000
2016,Bukit Panjang,3-room,147000,210000
2016,Bukit Panjang,4-room,239000,336000
2016,Bukit Panjang,5-room,315000,410000
2016,Punggol,2-room,80000,140000
2016,Punggol,3-room,163000,210000
2016,Punggol,4-room,257000,365000
2016,Punggol,5-room,329000,498000
2016,Sembawang,2-room,74000,116000
2016,Sembawang,3-room,151000,181000
2016,Sembawang,4-room,235000,300000
2016,Sembawang,5-room,311000,392000
2016,Yishun,2-room,79000,123000
2016,Yishun,3-room,156000,190000
2016,Yishun,4-room,251000,297000
2016,Yishun,5-room,na,na
